No,X1_transaction_date,X2_house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area,X3 distance to the nearest MRT station
31,2013.500,25.9,452,0,24.94826,121.49587,22.1,4519.69
32,2012.750,29.6,77,7,24.98281,121.53408,25,769.4034
33,2012.750,37.9,49,1,24.97349,121.53451,34.2,488.5727
34,2013.250,16.5,32,6,24.97841,121.54281,49.3,323.655
35,2012.750,15.4,21,7,24.98419,121.54243,55.1,205.367
36,2013.500,13.9,408,0,25.01459,121.51816,27.3,4079.418
37,2012.917,14.7,194,2,24.96386,121.51458,22.9,1935.009
38,2013.167,12,136,1,24.95204,121.54842,25.3,1360.139
39,2012.667,3.1,58,6,24.97201,121.54722,47.7,577.9615
40,2013.167,16.2,29,5,24.98203,121.54348,46.2,289.3248
41,2013.000,13.6,408,0,24.94155,121.50381,15.9,4082.015
42,2013.500,16.8,407,0,24.94297,121.50342,18.2,4066.587
43,2013.417,36.1,52,5,24.96305,121.53758,34.7,519.4617
44,2012.750,34.4,51,6,24.98748,121.54301,34.1,512.7871
45,2013.583,2.7,53,4,24.97445,121.54765,53.9,533.4762
46,2013.083,36.6,49,8,24.97015,121.54494,38.3,488.8193
47,2013.417,21.7,46,9,24.9703,121.54458,42,463.9623
48,2013.583,35.9,64,3,24.97563,121.53715,61.5,640.7391
49,2013.417,24.2,461,0,24.94684,121.49578,13.4,4605.749
50,2012.667,29.4,451,1,24.94925,121.49542,13.2,4510.359
51,2013.417,21.7,51,4,24.974,121.53842,44.2,512.5487
52,2013.083,31.3,176,1,24.95402,121.55282,20.7,1758.406
53,2013.583,32.1,144,3,24.97419,121.5175,27,1438.579
54,2013.083,13.3,49,5,24.96515,121.53737,38.9,492.2313
55,2013.083,16.1,29,5,24.98203,121.54348,51.7,289.3248
56,2012.833,31.7,116,0,24.94968,121.53009,13.7,1160.632
57,2013.417,33.6,37,8,24.97254,121.54059,41.9,371.2495
58,2012.917,3.5,6,7,24.95744,121.53711,53.5,56.47425
59,2013.500,30.3,451,1,24.94925,121.49542,22.6,4510.359
60,2013.083,13.3,34,5,24.95776,121.53438,42.4,336.0532
61,2013.417,11,193,2,24.96365,121.51471,21.3,1931.207
62,2013.500,5.3,26,6,24.97585,121.54516,63.2,259.6607
63,2012.917,17.2,218,3,24.96303,121.51254,27.7,2175.877
64,2013.583,2.6,53,4,24.97445,121.54765,55,533.4762
65,2013.333,17.5,100,0,24.96305,121.54915,25.3,995.7554
66,2013.417,40.1,12,8,24.97635,121.54329,44.3,123.7429
67,2013.000,1,19,6,24.96571,121.54089,50.7,193.5845
68,2013.500,8.5,10,5,24.96674,121.54067,56.8,104.8101
69,2013.417,30.4,46,6,24.97964,121.53805,36.2,464.223
70,2012.833,12.5,56,5,24.98746,121.54391,42,561.9845
71,2013.583,6.6,9,9,24.97433,121.5431,59,90.45606
72,2013.083,35.5,64,3,24.97563,121.53715,40.8,640.7391
73,2013.583,32.5,42,8,24.97587,121.53913,36.3,424.5442
74,2013.167,13.8,408,0,24.94155,121.50381,20,4082.015
75,2012.917,6.8,38,10,24.98343,121.53762,54.4,379.5575
76,2013.500,12.3,136,1,24.95204,121.54842,29.5,1360.139
77,2013.583,35.9,62,3,24.97723,121.53767,36.8,616.4004
78,2012.833,20.5,219,3,24.96322,121.51237,25.6,2185.128
79,2012.917,38.2,55,2,24.97598,121.53381,29.8,552.4371
80,2013.000,18,141,1,24.95182,121.54887,26.5,1414.837
81,2013.500,11.8,53,4,24.97445,121.54765,40.3,533.4762
82,2013.000,30.8,38,6,24.96427,121.53964,36.8,377.7956
83,2013.083,13.2,15,7,24.96725,121.54252,48.1,150.9347
84,2012.917,25.3,271,3,24.96056,121.50831,17.7,2707.392
85,2013.083,15.1,38,7,24.96735,121.54464,43.7,383.2805
86,2012.750,0,34,9,24.96853,121.54413,50.8,338.9679
87,2012.833,1.8,146,1,24.9512,121.549,27,1455.798
88,2013.583,16.9,407,0,24.94297,121.50342,18.3,4066.587
89,2012.917,8.9,141,0,24.98573,121.52758,48,1406.43
90,2013.500,23,395,0,24.94783,121.50243,25.3,3947.945
91,2012.833,0,27,1,24.9748,121.53059,45.4,274.0144
92,2013.250,9.1,140,0,24.98569,121.5276,43.2,1402.016
93,2012.917,20.6,247,4,24.96108,121.51046,21.8,2469.645
94,2012.917,31.9,115,0,24.9492,121.53076,16.1,1146.329
95,2012.917,40.9,17,5,24.9663,121.54026,41,167.5989
96,2012.917,8,10,5,24.96674,121.54067,51.8,104.8101
97,2013.417,6.4,9,9,24.97433,121.5431,59.5,90.45606
98,2013.083,28.4,62,3,24.97746,121.53299,34.6,617.4424
99,2013.417,16.4,29,5,24.98203,121.54348,51,289.3248
100,2013.417,6.4,9,9,24.97433,121.5431,62.2,90.45606
101,2013.500,17.5,96,4,24.98872,121.53411,38.2,964.7496
102,2012.833,12.7,17,1,24.97371,121.52984,32.9,170.1289
103,2013.083,1.1,19,6,24.96571,121.54089,54.4,193.5845
104,2012.750,0,21,6,24.95618,121.53844,45.7,208.3905
105,2012.667,32.7,39,6,24.96398,121.5425,30.5,392.4459
106,2012.833,0,29,6,24.97744,121.54458,71,292.9978
107,2013.083,17.2,19,8,24.97707,121.54308,47.1,189.5181
108,2013.333,12.2,136,1,24.95204,121.54842,26.6,1360.139
109,2013.417,31.4,59,2,24.9726,121.53561,34.1,592.5006
110,2013.583,4,215,3,24.96299,121.51284,28.4,2147.376
111,2013.083,8.1,10,5,24.96674,121.54067,51.6,104.8101
112,2013.583,33.3,20,7,24.97701,121.54224,39.4,196.6172
113,2013.417,9.9,210,3,24.96044,121.51462,23.1,2102.427
114,2013.333,14.8,39,6,24.96172,121.53812,7.6,393.2606
115,2012.667,30.6,14,8,24.98155,121.54142,53.3,143.8383
116,2013.083,20.6,74,2,24.98092,121.54739,46.4,737.9161
117,2013.000,30.9,640,1,24.94375,121.47883,12.2,6396.283
118,2013.000,13.6,420,0,24.93885,121.50383,13,4197.349
119,2013.500,25.3,158,3,24.96622,121.51709,30.6,1583.722
120,2013.500,16.6,29,5,24.98203,121.54348,59.6,289.3248
121,2013.167,13.3,49,5,24.96515,121.53737,31.3,492.2313
122,2013.500,13.6,49,5,24.96515,121.53737,48,492.2313
123,2013.250,31.5,41,4,24.98199,121.54464,32.5,414.9476
124,2013.417,0,19,0,24.9711,121.5317,45.5,185.4296
125,2012.917,9.9,28,7,24.97528,121.54541,57.4,279.1726
126,2013.167,1.1,19,6,24.96571,121.54089,48.6,193.5845
127,2013.083,38.6,80,4,24.97838,121.53477,62.9,804.6897
128,2013.250,3.8,38,5,24.98085,121.54391,55,383.8624
129,2013.083,41.3,12,6,24.96674,121.54039,60.7,124.9912
130,2013.417,38.5,22,7,24.98086,121.54162,41,216.8329
131,2013.250,29.6,54,8,24.98092,121.53653,37.5,535.527
132,2013.500,4,215,3,24.96299,121.51284,30.7,2147.376
133,2013.167,26.6,48,5,24.97433,121.53863,37.5,482.7581
134,2012.833,18,37,8,24.9866,121.54082,39.5,373.3937
135,2012.667,33.4,19,6,24.96604,121.54211,42.2,186.9686
136,2012.917,18.9,101,0,24.96357,121.54951,20.8,1009.235
137,2012.750,11.4,39,5,24.97937,121.54245,46.8,390.5684
138,2013.500,13.6,32,6,24.96495,121.54277,47.4,319.0708
139,2013.167,10,94,0,24.97843,121.52406,43.5,942.4664
140,2012.667,12.9,49,5,24.96515,121.53737,42.5,492.2313
141,2013.250,16.2,29,5,24.98203,121.54348,51.4,289.3248
142,2013.333,5.1,156,3,24.97213,121.51627,28.9,1559.827
143,2013.417,19.8,64,5,24.97017,121.54647,37.5,640.6071
144,2013.500,13.6,49,5,24.96515,121.53737,40.1,492.2313
145,2013.083,11.9,136,1,24.95204,121.54842,28.4,1360.139
146,2012.917,2.1,45,5,24.97563,121.54694,45.5,451.2438
147,2012.750,0,19,0,24.9711,121.5317,52.2,185.4296
148,2012.750,3.2,49,8,24.97017,121.54494,43.2,489.8821
149,2013.500,16.4,378,0,24.93293,121.51203,45.1,3780.59
150,2012.667,34.9,18,8,24.97349,121.54245,39.7,179.4538
151,2013.250,35.8,17,7,24.96719,121.54269,48.5,170.7311
152,2013.500,4.9,39,9,24.98118,121.53788,44.7,387.7721
153,2013.333,12,136,1,24.95204,121.54842,28.9,1360.139
154,2013.250,6.5,38,6,24.95418,121.53713,40.9,376.1709
155,2013.500,16.9,407,0,24.94297,121.50342,20.7,4066.587
156,2013.167,13.8,408,0,24.94155,121.50381,15.6,4082.015
157,2013.583,30.7,126,0,24.94883,121.52954,18.3,1264.73
158,2013.250,16.1,82,4,24.97886,121.53464,35.6,815.9314
159,2013.000,11.6,39,5,24.97937,121.54245,39.4,390.5684
160,2012.667,15.5,82,4,24.97886,121.53464,37.4,815.9314
161,2012.917,3.5,5,8,24.95836,121.53756,57.8,49.66105
162,2013.417,19.2,62,3,24.97723,121.53767,39.6,616.4004
163,2012.750,16,407,0,24.94297,121.50342,11.6,4066.587
164,2013.500,8.5,10,5,24.96674,121.54067,55.5,104.8101
165,2012.833,0,19,0,24.9711,121.5317,55.2,185.4296
166,2012.917,13.7,124,1,24.97694,121.55391,30.6,1236.564
167,2013.417,0,29,6,24.97744,121.54458,73.6,292.9978
168,2013.417,28.2,33,8,24.97408,121.54011,43.4,330.0854
169,2013.083,27.6,52,5,24.96299,121.5432,37.4,515.1122
170,2013.417,8.4,196,1,24.95468,121.55481,23.5,1962.628
171,2013.333,24,453,0,24.94741,121.49628,14.4,4527.687
172,2013.083,3.6,38,5,24.98085,121.54391,58.8,383.8624
173,2013.583,6.6,9,9,24.97433,121.5431,58.1,90.45606
174,2013.083,41.3,40,4,24.98326,121.5446,35.1,401.8807
175,2013.417,4.3,43,7,24.9805,121.53778,45.2,432.0385
176,2013.083,30.2,47,3,24.97005,121.53758,36.5,472.1745
177,2012.833,13.9,457,0,24.94867,121.49507,19.2,4573.779
178,2013.083,33,18,9,24.97697,121.54262,42,181.0766
179,2013.500,13.1,114,4,24.99176,121.53456,36.7,1144.436
180,2013.083,14,44,1,24.97493,121.5273,42.6,438.8513
181,2012.667,26.9,445,0,24.94898,121.49621,15.5,4449.27
182,2013.167,11.6,20,8,24.98489,121.54121,55.9,201.8939
183,2013.500,13.5,215,3,24.96299,121.51284,23.6,2147.376
184,2013.500,17,408,0,24.94155,121.50381,18.8,4082.015
185,2012.750,14.1,262,0,24.95495,121.56174,21.8,2615.465
186,2012.750,31.4,145,3,24.97285,121.5173,21.5,1447.286
187,2013.167,20.9,219,3,24.96322,121.51237,25.7,2185.128
188,2013.000,8.9,308,0,24.95464,121.56627,22,3078.176
189,2012.917,34.8,19,8,24.97707,121.54312,44.3,190.0392
190,2012.917,16.3,407,0,24.94297,121.50342,20.5,4066.587
191,2013.500,35.3,62,8,24.97945,121.53642,42.3,616.5735
192,2013.167,13.2,75,2,24.97371,121.54951,37.8,750.0704
193,2013.167,43.8,6,7,24.9675,121.54069,42.7,57.58945
194,2013.417,9.7,42,5,24.98246,121.54477,49.3,421.479
195,2013.500,15.2,377,0,24.93363,121.51158,29.3,3771.895
196,2013.333,15.2,46,5,24.95425,121.5399,34.6,461.1016
197,2013.000,22.8,71,2,24.981,121.54713,36.6,707.9067
198,2013.250,34.4,13,8,24.96881,121.54089,48.2,126.7286
199,2013.083,34,16,7,24.96628,121.54196,39.1,157.6052
200,2013.417,18.2,45,8,24.96945,121.5449,31.6,451.6419
201,2013.417,17.4,100,0,24.96305,121.54915,25.5,995.7554
202,2013.417,13.1,56,5,24.98746,121.54391,45.9,561.9845
203,2012.917,38.3,64,3,24.97559,121.53713,31.5,642.6985
204,2012.667,15.6,29,5,24.98203,121.54348,46.1,289.3248
205,2013.000,18,141,1,24.95182,121.54887,26.6,1414.837
206,2013.083,12.8,145,3,24.97289,121.51728,21.4,1449.722
207,2013.250,22.2,38,10,24.98343,121.53762,44,379.5575
208,2013.083,38.5,67,3,24.97503,121.53692,34.2,665.0636
209,2012.750,11.5,136,1,24.95204,121.54842,26.2,1360.139
210,2012.833,34.8,18,8,24.97347,121.54271,40.9,175.6294
211,2013.500,5.2,39,5,24.97937,121.54245,52.2,390.5684
212,2013.083,0,27,1,24.9748,121.53059,43.5,274.0144
213,2013.333,17.6,181,2,24.98672,121.52091,31.1,1805.665
214,2013.083,6.2,9,9,24.97433,121.5431,58,90.45606
215,2013.583,18.1,178,3,24.96731,121.51486,20.9,1783.18
216,2013.333,19.2,38,8,24.972,121.54477,48.1,383.7129
217,2013.250,37.8,59,1,24.97153,121.53559,39.7,590.9292
218,2012.917,28,37,6,24.97838,121.54119,40.8,372.6242
219,2013.417,13.6,49,5,24.96515,121.53737,43.8,492.2313
220,2012.750,29.3,53,8,24.98102,121.53655,40.2,529.7771
221,2013.333,37.2,19,9,24.97703,121.54265,78.3,186.5101
222,2013.333,9,140,0,24.98569,121.5276,38.5,1402.016
223,2013.583,30.6,43,10,24.98123,121.53743,48.5,431.1114
224,2013.250,9.1,140,0,24.98569,121.5276,42.3,1402.016
225,2013.333,34.5,32,6,24.97814,121.5417,46,324.9419
226,2013.250,1.1,19,6,24.96571,121.54089,49,193.5845
227,2013.000,16.5,408,0,24.94155,121.50381,12.8,4082.015
228,2012.917,32.4,27,8,24.98059,121.53986,40.2,265.0609
229,2013.417,11.9,317,0,25.00115,121.51776,46.6,3171.329
230,2013.583,31,116,0,24.9489,121.53095,19,1156.412
231,2013.500,4,215,3,24.96299,121.51284,33.4,2147.376
232,2012.833,16.2,407,0,24.94235,121.50357,14.7,4074.736
233,2012.917,27.1,441,1,24.95032,121.49587,17.4,4412.765
234,2013.333,39.7,33,9,24.98016,121.53932,32.4,333.3679
235,2013.250,8,222,4,24.96007,121.51361,23.9,2216.612
236,2012.750,12.9,25,7,24.96606,121.54297,39.3,250.631
237,2013.167,3.6,37,10,24.98322,121.53765,61.9,373.8389
238,2013.167,13,73,0,24.97668,121.52518,39,732.8528
239,2013.083,12.8,73,0,24.97668,121.52518,40.6,732.8528
240,2013.500,18.1,84,0,24.96334,121.54767,29.7,837.7233
241,2013.083,11,171,2,24.96412,121.5167,28.8,1712.632
242,2013.500,13.7,25,7,24.96606,121.54297,41.4,250.631
243,2012.833,2,208,3,24.96357,121.51329,33.4,2077.39
244,2013.417,32.8,20,8,24.98236,121.53923,48.2,204.1705
245,2013.083,4.8,156,3,24.97213,121.51627,21.7,1559.827
246,2013.417,7.5,64,5,24.97258,121.54814,40.8,639.6198
247,2013.417,16.4,39,6,24.96412,121.54273,40.6,389.8219
248,2013.333,21.7,106,0,24.96211,121.54928,23.1,1055.067
249,2013.000,19,101,0,24.96357,121.54951,22.3,1009.235
250,2012.833,18,631,1,24.95743,121.47516,15,6306.153
251,2013.167,39.2,42,7,24.97429,121.53917,30,424.7132
252,2012.917,31.7,116,0,24.9496,121.53018,13.8,1159.454
253,2012.833,5.9,9,9,24.97433,121.5431,52.7,90.45606
254,2012.667,30.4,174,2,24.96464,121.51623,25.9,1735.595
255,2012.667,1.1,33,5,24.98254,121.54395,51.8,329.9747
256,2013.417,31.5,551,1,24.95095,121.48458,17.4,5512.038
257,2012.667,14.6,34,1,24.97519,121.53151,26.5,339.2289
258,2013.250,17.3,44,1,24.97501,121.5273,43.9,444.1334
259,2013.417,0,29,6,24.97744,121.54458,63.3,292.9978
260,2013.083,17.7,84,0,24.96334,121.54767,28.8,837.7233
261,2013.250,17,149,4,24.97073,121.517,30.7,1485.097
262,2013.167,16.2,229,3,24.95885,121.51359,24.4,2288.011
263,2012.917,15.9,29,5,24.98203,121.54348,53,289.3248
264,2013.417,3.9,215,3,24.96299,121.51284,31.7,2147.376
265,2013.167,32.6,49,7,24.96968,121.54522,40.6,493.657
266,2012.833,15.7,82,4,24.97886,121.53464,38.1,815.9314
267,2013.250,17.8,178,3,24.96731,121.51486,23.7,1783.18
268,2012.833,34.7,48,5,24.97433,121.53863,41.1,482.7581
269,2013.417,17.2,39,5,24.97937,121.54245,40.1,390.5684
270,2013.000,17.6,84,0,24.96334,121.54767,23,837.7233
271,2013.333,10.8,25,1,24.9746,121.53046,117.5,252.5822
272,2012.917,17.7,45,8,24.96945,121.5449,26.5,451.6419
273,2012.750,13,49,5,24.96515,121.53737,40.5,492.2313
274,2013.417,13.2,17,1,24.97371,121.52984,29.3,170.1289
275,2013.167,27.5,39,7,24.97305,121.53994,41,394.0173
276,2012.667,1.5,2,7,24.96772,121.54102,49.7,23.38284
277,2013.000,19.1,46,5,24.95425,121.5399,34,461.1016
278,2013.417,21.2,219,3,24.96322,121.51237,27.7,2185.128
279,2012.750,0,21,6,24.95618,121.53844,44,208.3905
280,2013.417,2.6,155,3,24.97026,121.51642,31.1,1554.25
281,2013.250,2.3,18,6,24.96581,121.54086,45.4,184.3302
282,2013.333,4.7,39,9,24.98118,121.53788,44.8,387.7721
283,2012.917,2,146,1,24.9512,121.549,25.6,1455.798
284,2013.417,33.5,198,2,24.98674,121.51844,23.5,1978.671
285,2012.917,15,38,7,24.96735,121.54464,34.4,383.2805
286,2013.167,30.1,72,3,24.97509,121.53644,55.3,718.2937
287,2012.917,5.9,9,9,24.97433,121.5431,56.3,90.45606
288,2013.000,19.2,46,5,24.95425,121.5399,32.9,461.1016
289,2013.583,16.6,32,6,24.97841,121.5428,51,323.6912
290,2013.333,13.9,29,5,24.98203,121.54348,44.5,289.3248
291,2013.083,37.7,49,0,24.97217,121.53471,37,490.3446
292,2012.833,3.4,6,7,24.95744,121.53711,54.4,56.47425
293,2013.083,17.5,40,5,24.95674,121.534,24.5,395.6747
294,2012.667,12.6,38,7,24.96735,121.54464,42.5,383.2805
295,2013.500,26.4,34,6,24.9796,121.5414,38.1,335.5273
296,2013.167,18.2,218,3,24.96299,121.51252,21.8,2179.59
297,2012.750,12.5,114,4,24.99176,121.53456,34.1,1144.436
298,2012.833,34.9,57,4,24.97003,121.5458,28.5,567.0349
299,2013.333,16.7,408,0,24.94155,121.50381,16.7,4082.015
300,2013.167,33.2,12,10,24.98178,121.54059,46.1,121.7262
301,2013.083,2.5,16,4,24.96696,121.53992,36.9,156.2442
302,2012.750,38,46,0,24.97229,121.53445,35.7,461.7848
303,2013.500,16.5,229,3,24.95885,121.51359,23.2,2288.011
304,2013.500,38.3,44,0,24.97161,121.53423,38.4,439.7105
305,2013.417,20,163,3,24.96622,121.51668,29.4,1626.083
306,2013.083,16.2,29,5,24.98203,121.54348,55,289.3248
307,2013.500,14.4,17,1,24.97369,121.52979,50.2,169.9803
308,2012.833,10.3,308,0,24.9546,121.56627,24.7,3079.89
309,2013.417,16.4,29,5,24.98203,121.54348,53,289.3248
310,2013.250,30.3,126,0,24.94883,121.52954,19.1,1264.73
311,2013.583,16.4,164,2,24.95394,121.55174,24.7,1643.499
312,2013.167,21.3,54,4,24.97425,121.53814,42.2,537.7971
313,2013.583,35.4,32,9,24.97071,121.54069,78,318.5292
314,2013.333,8.3,10,5,24.96674,121.54067,42.8,104.8101
315,2013.250,3.7,58,6,24.97201,121.54722,41.6,577.9615
316,2013.083,15.6,176,2,24.9832,121.51812,27.3,1756.411
317,2013.250,13.3,25,7,24.96606,121.54297,42,250.631
318,2012.750,15.6,75,2,24.97795,121.53451,37.5,752.7669
319,2013.333,7.1,38,10,24.98343,121.53762,49.8,379.5575
320,2013.250,34.6,27,5,24.95562,121.53872,26.9,272.6783
321,2012.750,13.5,420,0,24.93885,121.50383,18.6,4197.349
322,2012.917,16.9,96,4,24.98872,121.53411,37.7,964.7496
323,2013.000,12.9,19,1,24.97388,121.52981,33.1,187.4823
324,2013.417,28.6,20,6,24.97631,121.54436,42.5,197.1338
325,2012.667,12.4,171,2,24.96412,121.5167,31.3,1712.632
326,2013.083,36.6,49,8,24.97015,121.54494,38.1,488.8193
327,2013.500,4.1,6,7,24.95744,121.53711,62.1,56.47425
328,2013.417,3.5,76,3,24.97538,121.54971,36.7,757.3377
329,2012.833,15.9,150,3,24.97003,121.51696,23.6,1497.713
330,2013.000,13.6,420,0,24.93885,121.50383,19.2,4197.349
331,2013.083,32,116,0,24.94935,121.53046,12.8,1156.777
332,2013.333,25.6,452,0,24.94826,121.49587,15.6,4519.69
333,2013.167,39.8,62,2,24.97577,121.53475,39.6,617.7134
334,2012.750,7.8,10,5,24.96674,121.54067,38.4,104.8101
335,2012.917,30,101,5,24.99006,121.5346,22.8,1013.341
336,2013.583,27.3,34,6,24.96431,121.54063,36.5,337.6016
337,2012.833,5.1,187,2,24.98407,121.51748,35.6,1867.233
338,2012.833,31.3,60,5,24.96871,121.54651,30.9,600.8604
339,2012.917,31.5,26,9,24.96867,121.54331,36.3,258.186
340,2013.333,1.7,33,5,24.98254,121.54395,50.4,329.9747
341,2013.333,33.6,27,0,24.97281,121.53265,42.9,270.8895
342,2013.000,13,75,2,24.97371,121.54951,37,750.0704
343,2012.667,5.7,9,9,24.97433,121.5431,53.5,90.45606
344,2013.000,33.5,56,8,24.98223,121.53597,46.6,563.2854
345,2013.500,34.6,309,0,24.998,121.5155,41.2,3085.17
346,2012.667,0,19,0,24.9711,121.5317,37.9,185.4296
347,2013.417,13.2,171,2,24.96412,121.5167,30.8,1712.632
348,2013.583,17.4,649,1,24.95719,121.47353,11.2,6488.021
349,2012.833,4.6,26,6,24.97585,121.54516,53.7,259.6607
350,2012.750,7.8,10,5,24.96674,121.54067,47,104.8101
351,2013.000,13.2,49,5,24.96515,121.53737,42.3,492.2313
352,2012.833,4,218,3,24.96324,121.51241,28.6,2180.245
353,2012.833,18.4,267,3,24.96143,121.50827,25.7,2674.961
354,2013.500,4.1,215,3,24.96299,121.51284,31.3,2147.376
355,2013.417,12.2,136,1,24.95204,121.54842,30.1,1360.139
356,2013.250,3.8,38,5,24.98085,121.54391,60.7,383.8624
357,2012.833,10.3,21,1,24.97417,121.52999,45.3,211.4473
358,2013.417,0,34,9,24.96853,121.54413,44.9,338.9679
359,2013.167,1.1,19,6,24.96571,121.54089,45.1,193.5845
360,2013.500,5.6,241,0,24.95505,121.55964,24.7,2408.993
361,2012.667,32.9,9,10,24.983,121.54022,47.1,87.30222
362,2013.083,41.4,28,8,24.97345,121.54093,63.3,281.205
363,2013.417,17.1,97,4,24.98872,121.53408,40,967.4
364,2013.500,32.3,11,10,24.98182,121.54086,48,109.9455
365,2013.417,35.3,61,7,24.97913,121.53666,33.1,614.1394
366,2012.917,17.3,226,4,24.96182,121.51222,29.5,2261.432
367,2012.750,14.2,180,1,24.95153,121.55254,24.8,1801.544
368,2012.833,15,183,2,24.96464,121.51531,20.9,1828.319
369,2013.417,18.2,35,1,24.97544,121.53119,43.1,350.8515
370,2012.667,20.2,219,3,24.96322,121.51237,22.8,2185.128
371,2012.750,15.9,29,5,24.98203,121.54348,42.1,289.3248
372,2013.500,4.1,31,5,24.95591,121.53956,51.7,312.8963
373,2013.000,33.9,16,7,24.96628,121.54196,41.5,157.6052
374,2013.083,0,27,1,24.9748,121.53059,52.2,274.0144
375,2013.250,5.4,39,5,24.97937,121.54245,49.5,390.5684
376,2013.250,21.7,116,0,24.96165,121.55011,23.8,1157.988
377,2013.417,14.7,172,2,24.96447,121.51649,30.5,1717.193
378,2013.333,3.9,5,8,24.95836,121.53756,56.8,49.66105
379,2013.333,37.3,59,8,24.97077,121.54634,37.4,587.8877
380,2013.333,0,29,6,24.97744,121.54458,69.7,292.9978
381,2013.333,14.1,29,5,24.98203,121.54348,53.3,289.3248
382,2013.417,8,13,9,24.98298,121.53981,47.3,132.5469
383,2013.000,16.3,353,0,24.93207,121.51597,29.3,3529.564
384,2012.667,29.1,51,4,24.97845,121.53889,40.3,506.1144
385,2012.750,16.1,407,0,24.94297,121.50342,12.9,4066.587
386,2013.000,18.3,8,10,24.983,121.54026,46.6,82.88643
387,2012.833,0,19,0,24.9711,121.5317,55.3,185.4296
388,2013.250,16.2,210,3,24.96042,121.51462,25.6,2103.555
389,2013.500,10.4,225,4,24.95957,121.51353,27.3,2251.938
390,2013.250,40.9,12,8,24.96756,121.5423,67.7,122.3619
391,2013.500,32.8,38,9,24.97151,121.5435,38.6,377.8302
392,2013.583,6.2,194,1,24.95155,121.55387,31.3,1939.749
393,2013.083,42.7,44,6,24.97927,121.53874,35.3,443.802
394,2013.000,16.9,97,4,24.98872,121.53408,40.3,967.4
395,2013.500,32.6,414,1,24.95544,121.4963,24.7,4136.271
396,2012.917,21.2,51,4,24.974,121.53842,42.5,512.5487
397,2012.667,37.1,92,1,24.97198,121.55063,31.9,918.6357
398,2013.417,13.1,116,4,24.99156,121.53406,32.2,1164.838
399,2013.417,14.7,172,2,24.96447,121.51649,23,1717.193
400,2012.917,12.7,17,1,24.97371,121.52984,37.3,170.1289
401,2013.250,26.8,48,5,24.97433,121.53863,35.5,482.7581
402,2013.083,7.6,218,3,24.96305,121.51254,27.7,2175.03
403,2012.833,12.7,19,1,24.97388,121.52981,28.5,187.4823
404,2012.667,30.9,16,9,24.98353,121.53966,39.7,161.942
405,2013.333,16.4,29,5,24.98203,121.54348,41.2,289.3248
406,2012.667,23,13,6,24.95663,121.53765,37.2,130.9945
407,2013.167,1.9,37,7,24.97293,121.54026,40.5,372.1386
408,2013.000,5.2,241,0,24.95505,121.55964,22.3,2408.993
409,2013.417,18.5,218,3,24.9633,121.51243,28.1,2175.744
410,2013.000,13.7,408,0,24.94155,121.50381,15.4,4082.015
411,2012.667,5.6,9,9,24.97433,121.5431,50,90.45606
412,2013.250,18.8,39,7,24.97923,121.53986,40.6,390.9696
413,2013.000,8.1,10,5,24.96674,121.54067,52.5,104.8101
